CTXKV timing calls=100 avg_ctx=41.7 max_ctx=2048 proj_avg_ms=0.58 rest_avg_ms=0.26 tot_avg_ms=0.84 hist=[('1-2', 1), ('16-32', 97), ('512-4611686018427387904', 1), ('64-128', 1)]
CTXKV timing calls=100 avg_ctx=21.6 max_ctx=83 proj_avg_ms=0.41 rest_avg_ms=0.25 tot_avg_ms=0.66 hist=[('1-2', 1), ('16-32', 196), ('512-4611686018427387904', 1), ('64-128', 2)]
CTXKV timing calls=100 avg_ctx=21.6 max_ctx=83 proj_avg_ms=0.41 rest_avg_ms=0.25 tot_avg_ms=0.66 hist=[('1-2', 1), ('16-32', 295), ('512-4611686018427387904', 1), ('64-128', 3)]
CTXKV timing calls=100 avg_ctx=21.6 max_ctx=83 proj_avg_ms=0.41 rest_avg_ms=0.25 tot_avg_ms=0.66 hist=[('1-2', 1), ('16-32', 394), ('512-4611686018427387904', 1), ('64-128', 4)]
CTXKV timing calls=100 avg_ctx=21.6 max_ctx=83 proj_avg_ms=0.41 rest_avg_ms=0.25 tot_avg_ms=0.66 hist=[('1-2', 1), ('16-32', 493), ('512-4611686018427387904', 1), ('64-128', 5)]
CTXKV timing calls=100 avg_ctx=21.6 max_ctx=83 proj_avg_ms=0.41 rest_avg_ms=0.25 tot_avg_ms=0.66 hist=[('1-2', 1), ('16-32', 592), ('512-4611686018427387904', 1), ('64-128', 6)]
CTXKV timing calls=100 avg_ctx=21.6 max_ctx=83 proj_avg_ms=0.41 rest_avg_ms=0.25 tot_avg_ms=0.66 hist=[('1-2', 1), ('16-32', 691), ('512-4611686018427387904', 1), ('64-128', 7)]
CTXKV timing calls=100 avg_ctx=21.6 max_ctx=83 proj_avg_ms=0.42 rest_avg_ms=0.25 tot_avg_ms=0.67 hist=[('1-2', 1), ('16-32', 691), ('512-4611686018427387904', 1), ('64-128', 8)]
CTXKV timing calls=100 avg_ctx=21.6 max_ctx=83 proj_avg_ms=0.40 rest_avg_ms=0.25 tot_avg_ms=0.65 hist=[('1-2', 1), ('16-32', 790), ('512-4611686018427387904', 1), ('64-128', 8)]
CTXKV timing calls=100 avg_ctx=21.0 max_ctx=21 proj_avg_ms=0.40 rest_avg_ms=0.25 tot_avg_ms=0.66 hist=[('1-2', 1), ('16-32', 890), ('512-4611686018427387904', 1), ('64-128', 8)]
CTXKV timing calls=100 avg_ctx=21.6 max_ctx=83 proj_avg_ms=0.41 rest_avg_ms=0.25 tot_avg_ms=0.66 hist=[('1-2', 1), ('16-32', 989), ('512-4611686018427387904', 1), ('64-128', 9)]
CTXKV timing calls=100 avg_ctx=21.6 max_ctx=83 proj_avg_ms=0.41 rest_avg_ms=0.25 tot_avg_ms=0.66 hist=[('1-2', 1), ('16-32', 1088), ('512-4611686018427387904', 1), ('64-128', 10)]
